transaction_id,txn_date,txn_time,customer_id,counterparty_name,currency_pair,amount_eur,country,channel,customer_risk_rating
TXN-003825,2026-03-14,15:53:19,CUST-0187,"Bonilla, Rodriguez and White",USD/JPY,986.01,BE,API,Low
TXN-003517,2026-03-01,08:24:02,CUST-0016,"Green, Horne and Mcdonald",EUR/GBP,1193.06,ES,API,Medium
TXN-000531,2026-03-02,17:27:20,CUST-0112,Hicks-Martinez,EUR/USD,1369.42,GB,Online,Low
TXN-000829,2026-02-23,11:44:47,CUST-0083,Allen Inc,EUR/USD,29413.39,BE,API,Low
TXN-004647,2026-01-05,08:25:25,CUST-0050,"Roman, Stark and Turner",GBP/USD,9653.53,PL,API,Low
TXN-000288,2026-04-16,21:03:17,CUST-0049,Morgan-Schwartz,EUR/CHF,10489.25,DE,Online,Low
TXN-000554,2026-05-28,13:05:49,CUST-0154,Ballard Ltd,EUR/USD,3521.04,IE,Branch,Medium
TXN-003971,2026-06-02,13:31:19,CUST-0051,Lee Inc,GBP/USD,2697.61,IE,Online,Medium
TXN-003051,2026-05-18,13:05:36,CUST-0120,Smith and Sons,GBP/USD,6051.36,FR,Online,Medium
TXN-004551,2026-05-21,13:24:12,CUST-0229,"Fernandez, Flores and Fowler",EUR/JPY,1343.71,PL,API,High
TXN-000229,2026-02-17,19:34:30,CUST-0154,Rowe Group,EUR/GBP,3381.36,IT,Online,Medium
TXN-000145,2026-02-21,19:38:08,CUST-0215,Hernandez Ltd,GBP/USD,5196.93,DE,Online,Low
TXN-002805,2026-04-04,07:16:24,CUST-0186,Friedman-Olson,EUR/USD,608.28,IT,Branch,Low
TXN-002196,2026-03-16,18:14:19,CUST-0170,Nelson Inc,EUR/CHF,2684.2,NL,Branch,Medium
TXN-001989,2026-06-07,07:56:27,CUST-0257,Wolfe-Salazar,EUR/GBP,865.77,FR,Branch,Low
TXN-000599,2026-05-15,13:33:13,CUST-0141,Hoffman Ltd,EUR/CHF,1150.88,ES,Online,Medium
TXN-002452,2026-06-17,21:24:43,CUST-0006,"Hogan, Zimmerman and Hoffman",EUR/GBP,1465.6,US,Online,Low
TXN-000297,2026-04-09,08:46:51,CUST-0037,Howard-Jordan,EUR/USD,1527.02,FR,Online,Low
TXN-004509,2026-06-09,21:31:43,CUST-0150,Johnson-Morrison,EUR/JPY,469.96,BE,API,Medium
TXN-000843,2026-03-19,08:02:34,CUST-0208,Cunningham-Barton,GBP/USD,4667.41,FR,Branch,Low
TXN-000009,2026-03-04,12:18:10,CUST-0179,Garcia-James,EUR/JPY,865.52,GB,API,Medium
TXN-004508,2026-02-05,13:43:12,CUST-0293,Long-Santos,USD/JPY,1560.97,IT,API,Medium
TXN-001898,2026-02-03,19:30:00,CUST-0031,Finley-Meyers,GBP/USD,2510.94,BE,Branch,Medium
TXN-001222,2026-02-21,12:56:48,CUST-0216,Wilson-Malone,EUR/USD,2437.69,NL,Online,Low
TXN-001666,2026-05-27,18:39:17,CUST-0083,Jones Group,EUR/JPY,1958.84,GB,Online,Low
TXN-002288,2026-02-11,13:56:41,CUST-0272,"Macdonald, Willis and Silva",EUR/USD,17087.1,US,Online,Low
TXN-001841,2026-04-17,21:01:41,CUST-0061,York LLC,EUR/JPY,1661.2,US,Online,Low
TXN-001695,2026-05-30,08:56:28,CUST-0027,Dean LLC,EUR/JPY,2493.29,PL,Branch,High
TXN-001076,2026-06-03,09:43:27,CUST-0272,"Ellis, Marks and Buchanan",EUR/GBP,2298.33,ES,API,Low
TXN-000374,2026-06-15,10:43:13,CUST-0110,"Watson, Anderson and Brown",GBP/USD,408.64,FR,API,Low
TXN-000024,2026-05-26,11:25:35,CUST-0090,Morales-Jones,EUR/USD,2984.84,BE,Branch,Low
TXN-004568,2026-03-12,11:59:11,CUST-0293,Kelley-Foster,GBP/USD,833.82,FR,Branch,Medium
TXN-002744,2026-05-07,17:27:27,CUST-0125,Waller-Brooks,EUR/USD,467.2,US,API,Low
TXN-001584,2026-06-15,10:59:38,CUST-0275,Foley Inc,USD/JPY,1733.5,FR,Online,Low
TXN-002978,2026-03-05,11:08:30,CUST-0122,Smith-Gonzalez,GBP/USD,2881.09,GB,Branch,High
TXN-004481,2026-01-31,15:47:00,CUST-0279,Schneider LLC,EUR/CHF,1280.23,IT,Branch,High
TXN-002424,2026-04-23,12:14:21,CUST-0040,Lewis-Miller,USD/JPY,15381.78,FR,Online,Low
TXN-004858,2026-06-11,18:32:56,CUST-0282,Gibson Ltd,EUR/CHF,3180.79,FR,API,High
TXN-001972,2026-01-28,08:26:03,CUST-0277,Riley-Snow,EUR/GBP,1591.6,DE,API,Medium
TXN-000415,2026-06-17,17:29:21,CUST-0288,Dixon Inc,GBP/USD,19185.04,FR,Online,Low
TXN-004813,2026-01-21,16:07:38,CUST-0030,Anderson LLC,EUR/GBP,20000.0,BE,Branch,Medium
TXN-001484,2026-05-26,08:20:14,CUST-0151,"Brown, Wise and Warren",EUR/JPY,21349.41,BE,Online,Low
TXN-002096,2026-05-26,16:00:41,CUST-0209,Williams-Rodriguez,EUR/USD,1452.77,US,Branch,Medium
TXN-001879,2026-06-18,09:01:59,CUST-0101,"Mayer, Fowler and Livingston",USD/JPY,1333.43,PL,Branch,High
TXN-000671,2026-02-13,20:37:04,CUST-0234,"Long, Anderson and Irwin",EUR/USD,310.35,BE,Online,Low
TXN-003588,2026-05-13,11:26:26,CUST-0225,Flores-White,GBP/USD,3376.19,ES,API,High
TXN-002331,2026-03-29,21:44:50,CUST-0206,Clark Inc,USD/JPY,660.0,GB,Branch,High
TXN-001520,2026-03-13,20:57:12,CUST-0212,Miller-Christensen,EUR/JPY,3343.38,IT,Branch,High
TXN-002078,2026-02-08,13:33:03,CUST-0124,Davis-Carpenter,EUR/JPY,1413.19,ES,Branch,Low
TXN-002385,2026-05-26,19:47:40,CUST-0048,Montes-Hammond,EUR/GBP,5129.76,IT,Online,Low
TXN-003567,2026-01-24,11:37:54,CUST-0115,Yoder Group,GBP/USD,982.5,IE,API,Medium
TXN-002022,2026-03-10,07:02:43,CUST-0130,Joseph LLC,EUR/JPY,4696.62,ES,Branch,Medium
TXN-000200,2026-04-12,20:22:49,CUST-0279,Christensen PLC,EUR/GBP,707.06,IT,Branch,High
TXN-003753,2026-01-31,07:55:24,CUST-0134,White Inc,EUR/CHF,1298.17,DE,Online,Medium
TXN-004723,2026-02-09,20:23:53,CUST-0258,"Pena, Mueller and Mckay",EUR/GBP,53523.44,MM,Online,High
TXN-003505,2026-05-04,21:50:35,CUST-0295,Brown PLC,EUR/USD,198.36,PL,API,Low
TXN-001559,2026-05-27,19:15:49,CUST-0034,Duncan Group,EUR/USD,1002.8,DE,Online,Medium
TXN-001874,2026-06-02,07:35:37,CUST-0204,Erickson Inc,USD/JPY,2204.22,US,API,Low
TXN-004860,2026-06-11,09:32:31,CUST-0282,Mitchell Inc,EUR/JPY,5821.38,US,Branch,High
TXN-000722,2026-03-19,14:35:47,CUST-0155,Duran Group,EUR/JPY,2010.49,BE,Online,Medium
TXN-001057,2026-01-20,09:28:48,CUST-0273,Lopez-Williams,USD/JPY,3842.71,PL,Branch,High
TXN-000417,2026-05-14,12:44:06,CUST-0150,"Mullen, Brewer and Hernandez",EUR/USD,421.26,PL,Online,Medium
TXN-002233,2026-01-06,12:54:18,CUST-0094,"Johnson, Williams and May",EUR/GBP,621.88,DE,Online,Medium
TXN-002037,2026-04-07,10:02:51,CUST-0071,Mccullough-Taylor,EUR/USD,834.0,NL,API,Low
TXN-002173,2026-02-01,17:35:20,CUST-0287,Weber Inc,EUR/GBP,2734.51,NL,Online,High
TXN-003535,2026-05-01,10:03:08,CUST-0183,"Braun, Hester and Smith",EUR/JPY,1114.18,BE,Online,High
TXN-001324,2026-04-18,20:54:07,CUST-0068,Joseph Ltd,EUR/USD,2897.1,GB,Branch,Low
TXN-002723,2026-06-11,16:22:34,CUST-0063,Jones-Lee,GBP/USD,3447.21,ES,API,Medium
TXN-004891,2026-05-27,19:07:49,CUST-0058,Gardner LLC,EUR/CHF,4307.37,IT,Branch,Medium
TXN-000231,2026-04-26,20:23:05,CUST-0170,"Branch, Torres and Oliver",USD/JPY,1362.9,GB,API,Medium
TXN-003201,2026-02-24,13:58:28,CUST-0176,"Shaffer, Contreras and Christian",EUR/GBP,6823.38,GB,API,Low
TXN-000351,2026-03-28,16:39:57,CUST-0281,Fernandez and Sons,EUR/JPY,752.28,GB,API,High
TXN-003894,2026-02-21,21:53:23,CUST-0172,Arnold-Boyer,EUR/JPY,1310.61,BE,Online,Medium
TXN-001030,2026-02-27,09:04:23,CUST-0087,"Santiago, Daniel and Rogers",EUR/GBP,3055.86,PL,API,High
TXN-002265,2026-06-05,09:06:43,CUST-0103,Barajas-Crosby,USD/JPY,7941.87,FR,API,Medium
TXN-000101,2026-04-12,11:12:07,CUST-0184,Figueroa PLC,EUR/JPY,79778.91,IE,Online,Medium
TXN-001169,2026-01-13,17:24:46,CUST-0190,"Jennings, Smith and Fisher",EUR/JPY,1031.11,GB,Online,Medium
TXN-003544,2026-06-23,16:16:20,CUST-0083,Martin Inc,USD/JPY,3044.21,FR,API,Low
TXN-001201,2026-02-09,16:56:07,CUST-0035,"Saunders, Ray and Cunningham",USD/JPY,2421.06,IE,Online,Low
TXN-000953,2026-06-14,07:15:59,CUST-0193,"Acosta, Garcia and Moreno",EUR/CHF,1802.61,FR,API,Medium
TXN-003533,2026-05-03,10:21:57,CUST-0178,Cohen Group,EUR/JPY,4157.35,ES,Online,Low
TXN-001490,2026-05-10,18:30:34,CUST-0066,Dalton-Nguyen,GBP/USD,642.62,GB,Online,Low
TXN-002768,2026-03-28,18:15:09,CUST-0296,Warren-Pena,GBP/USD,3416.27,PL,Online,Medium
TXN-001937,2026-06-19,18:59:33,CUST-0070,Bishop Inc,EUR/JPY,2273.46,ES,Online,High
TXN-000034,2026-04-17,13:21:34,CUST-0110,Frazier Inc,EUR/JPY,344.81,GB,Branch,Low
TXN-002699,2026-05-10,11:35:32,CUST-0282,"Hanson, Williams and Mcclure",EUR/JPY,1278.01,FR,Branch,High
TXN-004122,2026-03-11,07:19:59,CUST-0072,Myers and Sons,EUR/GBP,2648.51,NL,Online,Low
TXN-003510,2026-04-29,14:21:18,CUST-0278,"Hines, Pineda and Kent",GBP/USD,1981.08,PL,Branch,Medium
TXN-000765,2026-05-12,14:42:48,CUST-0129,Miller Group,USD/JPY,990.91,BE,Online,Medium
TXN-000539,2026-02-18,15:43:31,CUST-0276,Owens-Holmes,USD/JPY,308.96,IT,Online,Medium
TXN-000180,2026-02-06,12:55:45,CUST-0175,Howell and Sons,GBP/USD,1343.03,BE,API,High
TXN-002628,2026-01-04,10:51:26,CUST-0209,Torres Ltd,EUR/USD,1783.52,IT,Branch,Medium
TXN-004615,2026-03-01,08:09:55,CUST-0190,"Henderson, Brown and Baker",GBP/USD,9994.33,US,Online,Medium
TXN-003589,2026-04-11,10:31:49,CUST-0137,Williams Ltd,EUR/USD,1406.42,GB,Online,Low
TXN-000625,2026-04-29,13:37:26,CUST-0155,Butler and Sons,EUR/GBP,708.12,PL,API,Medium
TXN-004693,2026-02-11,13:07:20,CUST-0253,Graham-Valencia,USD/JPY,9929.04,ES,Branch,Low
TXN-004884,2026-03-12,21:20:47,CUST-0237,"Jones, Mcgrath and Marks",EUR/GBP,2364.29,GB,Online,Low
TXN-001435,2026-02-21,11:10:27,CUST-0118,"Kelly, Maxwell and Wilson",GBP/USD,1123.77,FR,Online,Low
TXN-001420,2026-03-12,15:23:28,CUST-0029,"Wright, Ramos and Bennett",GBP/USD,2148.99,ES,Online,High
TXN-002239,2026-03-01,11:11:28,CUST-0163,Green Ltd,EUR/JPY,2578.03,IT,Branch,High
TXN-002252,2026-01-31,16:27:46,CUST-0205,Roberts-Snyder,EUR/GBP,59.31,NL,Online,Low
TXN-004519,2026-01-24,11:00:30,CUST-0225,Cortez-Ellis,EUR/JPY,619.12,BE,Online,High
TXN-004185,2026-04-25,15:07:07,CUST-0043,"Lucero, Sanchez and Perez",EUR/JPY,1787.51,IT,Branch,Low
TXN-001616,2026-02-14,16:25:23,CUST-0178,Gonzalez LLC,EUR/JPY,2023.75,IT,Branch,Low
TXN-003921,2026-06-01,18:54:23,CUST-0097,"Johnson, Taylor and Boyd",EUR/JPY,2873.18,IT,API,Low
TXN-002887,2026-05-14,10:42:12,CUST-0183,Pierce LLC,EUR/GBP,4928.41,BE,Branch,High
TXN-004821,2026-04-28,19:20:08,CUST-0276,"Copeland, Jones and Salazar",GBP/USD,100000.0,ES,Branch,Medium
TXN-003951,2026-02-14,13:30:53,CUST-0129,Quinn Inc,EUR/USD,158.85,IT,API,Medium
TXN-000249,2026-05-09,18:22:03,CUST-0072,Johnston-Hines,EUR/USD,493.09,GB,Branch,Low
TXN-003612,2026-01-20,18:47:15,CUST-0230,Willis and Sons,EUR/USD,552.24,IT,Branch,Low
TXN-000498,2026-04-12,10:48:36,CUST-0262,Robertson-Hays,EUR/GBP,7091.56,NL,Online,Low
TXN-004311,2026-04-26,20:06:37,CUST-0169,Sutton Inc,EUR/CHF,5891.89,IT,Branch,Low
TXN-003351,2026-01-01,16:14:15,CUST-0269,"Mcknight, Howard and Johnson",USD/JPY,531.54,US,Online,Medium
TXN-003107,2026-01-20,15:43:12,CUST-0105,Delgado-Sullivan,EUR/USD,1132.05,ES,Online,High
TXN-003808,2026-01-02,07:18:08,CUST-0286,Wood LLC,EUR/GBP,2351.12,ES,Online,Medium
TXN-003476,2026-05-18,11:00:28,CUST-0254,Smith Inc,EUR/USD,1658.75,PL,API,Low
TXN-000158,2026-03-21,15:25:52,CUST-0022,"Miller, Hernandez and Reyes",USD/JPY,122.03,ES,Branch,Medium
TXN-002136,2026-02-26,10:35:21,CUST-0195,Jimenez Inc,EUR/GBP,3622.44,NL,Online,Medium
TXN-004462,2026-05-02,21:33:16,CUST-0300,Wells and Sons,USD/JPY,3220.39,FR,Branch,Low
TXN-001182,2026-05-15,09:16:58,CUST-0279,"Hall, Hinton and Phillips",EUR/CHF,652.63,US,Branch,High
TXN-004899,2026-05-26,15:34:03,CUST-0039,"Webb, Willis and Terry",EUR/CHF,4850.36,IE,Branch,Medium
TXN-001768,2026-05-16,07:09:01,CUST-0094,"Soto, Vaughn and Griffin",GBP/USD,11593.76,US,API,Medium
TXN-000228,2026-03-30,17:42:24,CUST-0254,"Duran, Obrien and Gibbs",USD/JPY,2738.27,IE,Branch,Low
TXN-004209,2026-02-11,18:57:16,CUST-0242,Padilla-Bender,EUR/USD,2610.89,IE,API,Low
TXN-000747,2026-05-02,17:38:25,CUST-0205,Ali PLC,EUR/JPY,236.24,ES,API,Low
TXN-001925,2026-01-18,09:03:21,CUST-0090,"Gardner, Morris and Oconnell",EUR/GBP,1568.65,US,API,Low
TXN-003376,2026-01-22,20:20:27,CUST-0057,"Collins, Elliott and Shelton",EUR/USD,25046.98,IE,Branch,Low
TXN-002722,2026-02-23,11:18:50,CUST-0013,"Morris, Ramos and Smith",EUR/JPY,3915.34,US,Branch,Medium
TXN-002032,2026-05-17,10:52:34,CUST-0219,Smith Ltd,GBP/USD,5791.83,IE,API,Medium
TXN-003413,2026-01-26,13:25:16,CUST-0010,Richardson-Hill,USD/JPY,1033.31,IT,Branch,Low
TXN-000066,2026-04-23,08:38:02,CUST-0277,Morton-Chase,EUR/JPY,1404.17,US,API,Medium
TXN-000013,2026-04-24,15:45:27,CUST-0135,Arnold Ltd,USD/JPY,1259.71,DE,Online,Medium
TXN-000394,2026-01-06,16:32:10,CUST-0068,"Miller, Ramos and Coleman",EUR/USD,276.32,FR,Branch,Low
TXN-003269,2026-04-30,12:53:59,CUST-0085,Hoffman Ltd,EUR/JPY,2441.55,IE,Branch,High
TXN-004403,2026-04-16,17:15:53,CUST-0148,Jacobs-Lopez,EUR/GBP,7966.32,PL,API,High
TXN-004763,2026-03-24,07:51:59,CUST-0119,Thomas Ltd,EUR/GBP,52500.87,SY,API,High
TXN-003783,2026-04-01,07:46:56,CUST-0141,"Ross, Flowers and King",EUR/JPY,930.15,GB,Online,Medium
TXN-002171,2026-06-12,19:46:30,CUST-0200,Mitchell Inc,EUR/GBP,370.39,FR,Online,Low
TXN-003502,2026-03-04,12:52:36,CUST-0085,"Alexander, Duran and Benton",EUR/JPY,1172.45,GB,Online,High
TXN-002804,2026-02-17,14:40:46,CUST-0152,"Davies, Archer and Owens",EUR/USD,576.05,DE,Branch,Medium
TXN-002999,2026-01-03,14:07:27,CUST-0026,Ferguson and Sons,EUR/GBP,357.08,US,Branch,Low
TXN-003979,2026-05-29,21:16:43,CUST-0222,"Larson, Butler and Barber",EUR/USD,780.45,ES,Online,High
TXN-001341,2026-05-02,20:15:16,CUST-0223,Knight PLC,EUR/CHF,1489.46,IT,Branch,High
TXN-004768,2026-01-26,16:50:04,CUST-0120,Stephenson Group,EUR/CHF,61478.5,IR,Branch,Medium
TXN-000316,2026-03-25,08:35:29,CUST-0145,"Lucas, Parker and Alexander",EUR/USD,395.13,NL,Branch,Low
TXN-003411,2026-04-19,20:57:50,CUST-0114,Alvarez LLC,EUR/JPY,20151.0,GB,API,Low
TXN-000857,2026-01-12,13:30:36,CUST-0179,"Adams, Hodge and Duke",GBP/USD,1765.0,GB,API,Medium
TXN-003683,2026-01-11,19:53:19,CUST-0289,Jackson-Pratt,EUR/USD,6873.83,IE,Branch,Low
TXN-000597,2026-02-15,14:47:37,CUST-0294,Salas-Fitzgerald,GBP/USD,740.22,PL,Online,Medium
TXN-002823,2026-06-04,13:36:40,CUST-0001,Wise-Salinas,EUR/USD,3301.58,IT,API,High
TXN-003795,2026-04-16,21:32:28,CUST-0128,Turner Inc,EUR/USD,3173.76,US,Branch,High
TXN-004151,2026-06-05,09:10:38,CUST-0160,Ward Ltd,EUR/CHF,617.14,FR,Branch,High
TXN-003983,2026-02-18,17:19:42,CUST-0011,Elliott-Farmer,EUR/JPY,964.24,NL,Branch,High
TXN-003177,2026-03-02,20:09:34,CUST-0161,Miller Ltd,GBP/USD,1539.55,DE,Branch,High
TXN-004259,2026-05-07,10:28:09,CUST-0256,Stevenson-Ferguson,USD/JPY,333.14,PL,Online,Low
TXN-004870,2026-01-05,18:20:32,CUST-0151,Benjamin LLC,GBP/USD,937.03,GB,Branch,Low
TXN-001262,2026-01-04,09:07:26,CUST-0093,Harris-Melton,GBP/USD,5436.26,US,API,Low
TXN-004181,2026-02-12,08:24:42,CUST-0092,Austin-Arellano,EUR/CHF,5559.82,FR,Online,High
TXN-002785,2026-01-16,08:55:27,CUST-0136,"Wu, Key and Montoya",EUR/JPY,253.7,GB,API,Medium
TXN-002772,2026-05-18,09:18:36,CUST-0052,Harris Ltd,EUR/JPY,2321.42,IT,API,Low
TXN-000725,2026-03-08,09:37:03,CUST-0295,Wagner LLC,EUR/GBP,4713.75,IE,Branch,Low
TXN-000706,2026-04-24,14:19:36,CUST-0272,"Morris, Campbell and Owens",EUR/GBP,1672.0,PL,Branch,Low
TXN-000150,2026-01-05,11:13:53,CUST-0003,"Schmidt, Hansen and Stewart",EUR/GBP,4537.21,GB,API,Low
TXN-004353,2026-04-17,07:24:28,CUST-0007,Lester and Sons,EUR/JPY,3245.17,FR,API,Low
TXN-003981,2026-04-25,07:08:33,CUST-0279,Wood-Torres,GBP/USD,619.33,GB,Branch,High
TXN-004146,2026-01-03,16:10:11,CUST-0072,"Hamilton, Baker and Osborn",EUR/GBP,4549.68,GB,Branch,Low
TXN-002876,2026-03-13,16:45:53,CUST-0190,"Scott, Mullins and Miller",EUR/USD,2191.15,IT,Online,Medium
TXN-002318,2026-06-19,21:42:54,CUST-0276,"Miller, Mcdonald and Miller",EUR/CHF,4278.04,BE,Online,Medium
TXN-000280,2026-05-05,09:12:52,CUST-0184,"Reyes, Chase and Jenkins",EUR/JPY,9854.33,IE,API,Medium
TXN-004266,2026-04-02,19:47:46,CUST-0129,Stafford Ltd,EUR/USD,603.37,FR,Online,Medium
TXN-003654,2026-04-12,13:27:56,CUST-0170,"Warner, Oconnor and Smith",EUR/CHF,2590.88,IE,API,Medium
TXN-000600,2026-05-04,18:44:38,CUST-0271,Fox-Edwards,EUR/CHF,2292.51,GB,Branch,Low
TXN-001621,2026-03-07,21:35:42,CUST-0295,Cole-Johnson,EUR/GBP,2149.12,IE,API,Low
TXN-004783,2026-03-13,07:36:50,CUST-0215,"Snyder, Miller and Stevens",EUR/GBP,15000.0,US,Online,Low
TXN-001188,2026-06-20,19:35:09,CUST-0146,"Adams, Quinn and Watson",EUR/USD,878.41,PL,API,High
TXN-002643,2026-01-06,16:06:16,CUST-0123,"Warren, Gibson and Wood",EUR/CHF,2441.37,DE,Online,Medium
TXN-000291,2026-05-05,12:37:00,CUST-0189,Brennan-Johnson,EUR/CHF,1883.38,US,Online,Low
TXN-001700,2026-02-12,21:43:31,CUST-0113,"Smith, Khan and Ramirez",EUR/USD,13539.1,US,Online,Low
TXN-004616,2026-04-14,16:32:28,CUST-0066,"Howard, Morales and Calhoun",EUR/JPY,9421.28,US,Online,Low
TXN-002348,2026-02-21,11:13:37,CUST-0139,"Gallegos, Myers and Cook",USD/JPY,17123.46,IE,API,Low
TXN-001039,2026-06-20,10:30:42,CUST-0017,Lynn-Jones,GBP/USD,1447.0,DE,Online,Low
TXN-000487,2026-03-12,19:25:22,CUST-0081,"Hartman, Romero and Smith",EUR/CHF,839.46,GB,Branch,Low
TXN-002165,2026-05-10,19:10:53,CUST-0255,Hudson-Morris,EUR/GBP,1873.14,GB,Branch,Medium
TXN-003559,2026-02-14,18:59:05,CUST-0186,"Rosario, Ortiz and Miller",EUR/GBP,1212.3,FR,API,Low
TXN-003025,2026-04-10,10:51:44,CUST-0088,"Sandoval, Parrish and Crosby",EUR/GBP,445.41,GB,Branch,High
TXN-001833,2026-06-15,12:39:46,CUST-0109,Berry-Rivera,EUR/USD,1980.51,FR,Online,Low
TXN-001947,2026-03-23,11:55:10,CUST-0055,Clark-King,EUR/CHF,5261.69,ES,API,Medium
TXN-003162,2026-06-22,14:29:21,CUST-0126,Carroll-Huerta,GBP/USD,4089.47,IE,API,Low
TXN-004268,2026-06-17,21:05:13,CUST-0128,Duncan PLC,GBP/USD,3250.5,FR,API,High
